cell_index,timestamp
80,2024-07-26 20:30
30,2024-07-26 20:45
107,2024-07-26 21:15
33,2024-07-26 21:30
89,2024-07-26 21:45
15,2024-07-26 22:00
166,2024-07-26 22:15
21,2024-07-26 22:30
146,2024-07-26 22:45
197,2024-07-26 23:00
123,2024-07-26 23:15
26,2024-07-26 23:45
150,2024-07-27 0:00
80,2024-07-29 15:00
30,2024-07-29 15:15
107,2024-07-29 15:30
33,2024-07-29 15:45
89,2024-07-29 16:00
15,2024-07-29 16:15
166,2024-07-29 17:15
146,2024-07-29 17:30
21,2024-07-29 17:45
123,2024-07-29 18:00
197,2024-07-29 18:15
26,2024-07-29 19:00
150,2024-07-29 19:15
80,2024-07-29 20:15
107,2024-07-29 20:30
30,2024-07-29 20:45
33,2024-07-29 21:00
89,2024-07-29 21:15
21,2024-07-29 21:30
146,2024-07-29 21:45
197,2024-07-29 22:00
123,2024-07-29 22:15
26,2024-07-29 22:30
150,2024-07-29 22:45
