,Date,pm2_5_avg_100,pm2_5_avg_101,pm2_5_avg_102,pm2_5_avg_103,status_100,status_101,status_102,status_103
0,2024-07-26 00:15:00,2.0833333333,3.4166666667,4.3,7.8166666667,1,1,1,1
1,2024-07-26 00:30:00,2.0,3.75,4.2333333333,7.8666666667,1,1,1,1
2,2024-07-26 00:45:00,2.0,3.8833333333,4.1833333333,7.8166666667,0,1,1,1
3,2024-07-26 01:00:00,2.0,3.6,4.2166666667,7.9666666667,0,1,1,1
4,2024-07-26 01:15:00,2.0,3.7666666667,4.1166666667,7.7833333333,1,1,1,1
5,2024-07-26 01:30:00,2.0,3.7,4.0892857143,7.6333333333,1,1,1,1
6,2024-07-26 01:45:00,2.0,3.7333333333,4.1,7.6,1,1,1,1
7,2024-07-26 02:00:00,2.0,3.7857142857,4.25,7.6923076923,0,1,1,1
8,2024-07-26 02:15:00,2.0,3.7666666667,4.2,7.7,0,1,1,1
9,2024-07-26 02:30:00,2.0,3.7333333333,4.0961538462,7.7833333333,0,1,1,1
10,2024-07-26 02:45:00,2.0,3.9,4.325,7.9821428571,0,1,1,1
11,2024-07-26 03:30:00,2.125,3.9333333333,4.3166666667,8.2666666667,1,1,1,1
12,2024-07-26 03:45:00,2.125,3.8,4.3181818182,8.2666666667,0,1,1,1
13,2024-07-26 04:00:00,2.125,3.8666666667,4.4,8.25,0,1,1,1
14,2024-07-26 04:15:00,2.5277777778,4.05,4.6136363636,8.55,1,1,1,1
15,2024-07-26 04:30:00,2.3125,3.9333333333,4.6136363636,8.4666666667,1,1,1,1
16,2024-07-26 04:45:00,2.25,3.85,4.5625,8.3166666667,1,1,1,1
17,2024-07-26 05:00:00,2.0,3.8,4.3571428571,8.2333333333,1,1,1,1
18,2024-07-26 05:15:00,2.125,3.7333333333,4.3571428571,8.25,1,1,0,1
19,2024-07-26 05:30:00,2.25,3.7,4.3571428571,8.3,1,1,0,1
20,2024-07-26 05:45:00,2.6590909091,3.9833333333,4.775,8.6166666667,1,1,1,1
21,2024-07-26 06:00:00,2.6,4.1,4.96875,8.8333333333,1,1,1,1
22,2024-07-26 06:15:00,2.8166666667,4.25,4.8,8.9333333333,1,1,1,1
23,2024-07-26 06:30:00,2.8636363636,4.15,4.8,8.9666666667,1,1,0,1
24,2024-07-26 06:45:00,2.875,4.2166666667,4.8,9.0,1,1,0,1
25,2024-07-26 07:00:00,2.875,4.2166666667,4.8,8.95,0,1,0,1
26,2024-07-26 07:15:00,2.875,4.1833333333,4.8,9.0833333333,0,1,0,1
27,2024-07-26 12:15:00,2.6428571429,3.9666666667,5.0,8.3333333333,0,1,1,1
28,2024-07-26 12:30:00,3.0,3.95,5.0833333333,8.65,1,1,1,1
29,2024-07-26 12:45:00,3.0,3.9666666667,5.0208333333,9.15,0,1,1,1
30,2024-07-26 13:00:00,3.0,4.0333333333,5.2166666667,9.35,0,1,1,1
31,2024-07-26 13:15:00,3.0,4.35,5.5166666667,9.7,1,1,1,1
32,2024-07-26 13:30:00,2.9833333333,3.9833333333,5.3571428571,9.6833333333,1,1,1,1
33,2024-07-26 13:45:00,2.8166666667,3.3214285714,5.0714285714,9.3,1,1,1,1
34,2024-07-26 14:00:00,2.45,3.125,5.0714285714,8.9464285714,1,1,0,1
35,2024-07-26 14:15:00,2.2166666667,2.8541666667,5.0714285714,8.3166666667,1,1,0,1
36,2024-07-26 14:30:00,2.1333333333,2.6607142857,4.4333333333,8.0333333333,1,1,1,1
37,2024-07-26 14:45:00,2.1333333333,2.7678571429,4.25,7.7166666667,1,1,1,1
38,2024-07-26 15:00:00,2.375,2.8333333333,4.375,7.6363636364,1,1,1,1
39,2024-07-26 15:15:00,2.4333333333,2.7708333333,4.5535714286,7.55,1,1,1,1
40,2024-07-26 15:30:00,3.0333333333,3.2884615385,4.6607142857,7.6666666667,1,1,1,1
41,2024-07-26 15:45:00,3.2,5.25,4.9375,8.3,1,1,1,1
42,2024-07-26 16:00:00,3.2333333333,5.5,5.0,8.7,1,1,1,1
43,2024-07-26 16:15:00,3.0666666667,5.9615384615,5.05,8.6666666667,1,1,1,1
44,2024-07-26 16:30:00,3.1166666667,5.4,5.0666666667,8.5,1,1,1,1
45,2024-07-26 16:45:00,3.0833333333,4.9166666667,5.2333333333,8.7166666667,1,1,1,1
46,2024-07-26 17:00:00,3.0833333333,4.8666666667,5.1964285714,8.6666666667,1,1,1,1
47,2024-07-26 17:15:00,3.0,4.7833333333,5.2166666667,8.65,1,1,1,1
48,2024-07-26 17:30:00,3.0,4.625,5.0833333333,8.9333333333,1,1,1,1
49,2024-07-26 17:45:00,3.0,4.95,4.9833333333,9.2166666667,1,1,1,1
50,2024-07-26 18:00:00,2.95,4.4666666667,5.1,9.1785714286,1,1,1,1
51,2024-07-26 18:15:00,2.9666666667,4.55,4.9666666667,9.25,1,1,1,1
52,2024-07-26 18:30:00,2.9333333333,4.75,4.9833333333,9.15,1,1,1,1
53,2024-07-26 18:45:00,2.9166666667,4.7777777778,4.95,9.0357142857,1,1,1,1
54,2024-07-26 19:00:00,2.85,4.55,4.9,9.1166666667,1,1,1,1
55,2024-07-26 19:15:00,2.9166666667,4.5833333333,4.9666666667,9.05,1,1,1,1
56,2024-07-26 19:30:00,2.8333333333,4.4166666667,4.85,9.15,1,1,1,1
57,2024-07-26 19:45:00,2.8333333333,4.5166666667,4.9333333333,9.15,1,1,1,1
58,2024-07-26 20:00:00,2.8888888889,4.5892857143,4.9333333333,9.1590909091,1,1,1,1
59,2024-07-26 20:15:00,2.96875,4.6166666667,5.1,9.3833333333,1,1,1,1
60,2024-07-26 20:30:00,2.9666666667,4.5666666667,4.9333333333,9.3666666667,1,1,1,1
61,2024-07-26 20:45:00,3.0333333333,4.7083333333,5.05,9.4318181818,1,1,1,1
62,2024-07-26 21:00:00,3.0166666667,4.6666666667,5.0166666667,9.1666666667,1,1,1,1
63,2024-07-26 21:15:00,3.0,4.7166666667,5.0666666667,9.3269230769,1,1,1,1
64,2024-07-26 21:30:00,2.9642857143,4.6428571429,5.0,9.525,1,1,1,1
65,2024-07-26 21:45:00,2.9833333333,4.65,5.1333333333,9.5208333333,1,1,1,1
66,2024-07-26 22:00:00,2.9333333333,4.7,5.1,9.5833333333,1,1,1,1
67,2024-07-26 22:15:00,2.95,4.65,5.1,9.6666666667,1,1,1,1
68,2024-07-26 22:30:00,3.0,5.25,5.3166666667,9.9833333333,1,1,1,1
69,2024-07-26 22:45:00,2.95,5.3833333333,5.25,9.9107142857,1,1,1,1
70,2024-07-26 23:00:00,3.0166666667,5.3666666667,5.2666666667,9.65,1,1,1,1
71,2024-07-26 23:15:00,3.0,5.35,5.1,9.8166666667,1,1,1,1
72,2024-07-29 13:45:00,2.0,3.85,3.9,7.0,1,1,1,1
73,2024-07-29 14:00:00,1.9833333333,3.9666666667,4.0,7.1666666667,1,1,1,1
74,2024-07-29 14:15:00,1.9333333333,3.8666666667,4.0166666667,7.0166666667,1,1,1,1
75,2024-07-29 14:30:00,1.9666666667,3.9833333333,3.9666666667,6.95,1,1,1,1
76,2024-07-29 14:45:00,1.9333333333,3.7166666667,3.7833333333,6.7666666667,1,1,1,1
77,2024-07-29 15:00:00,1.3,3.7,3.7666666667,6.45,1,1,1,1
78,2024-07-29 15:15:00,1.1166666667,3.1428571429,3.65,6.3214285714,1,1,1,1
79,2024-07-29 15:30:00,1.1,3.2666666667,3.5,6.2,1,1,1,1
80,2024-07-29 15:45:00,1.1166666667,3.1833333333,3.5166666667,6.1666666667,1,1,1,1
81,2024-07-29 16:00:00,1.1607142857,3.2,3.5,6.2,1,1,1,1
82,2024-07-29 16:15:00,1.1153846154,3.2166666667,3.5666666667,6.2833333333,1,1,1,1
83,2024-07-29 16:30:00,1.2272727273,3.375,3.5166666667,6.2678571429,1,1,1,1
84,2024-07-29 16:45:00,1.1538461538,3.3333333333,3.4,6.3333333333,1,1,1,1
85,2024-07-29 17:00:00,1.1071428571,3.28125,3.3666666667,6.3181818182,1,1,1,1
86,2024-07-29 17:15:00,1.125,3.1,3.35,6.2678571429,1,1,1,1
87,2024-07-29 17:30:00,1.125,3.05,3.35,6.0333333333,1,1,1,1
88,2024-07-29 17:45:00,1.0833333333,3.2833333333,3.2166666667,6.65,1,1,1,1
89,2024-07-29 18:00:00,1.0833333333,3.35,3.1333333333,6.4333333333,1,1,1,1
90,2024-07-29 18:15:00,1.0555555556,3.1166666667,3.0666666667,6.3166666667,1,1,1,1
91,2024-07-29 18:30:00,1.0714285714,2.5909090909,3.0166666667,6.2166666667,1,1,1,1
92,2024-07-29 18:45:00,1.0714285714,2.9722222222,2.9166666667,6.0681818182,0,1,1,1
93,2024-07-29 19:00:00,1.0714285714,2.5,2.8666666667,5.9333333333,0,1,1,1
94,2024-07-29 19:15:00,1.0714285714,2.2142857143,2.7666666667,5.6166666667,0,1,1,1
95,2024-07-29 19:30:00,1.0,2.05,2.6333333333,5.3333333333,1,1,1,1
96,2024-07-29 19:45:00,1.0,2.6875,2.4333333333,5.275,1,1,1,1
97,2024-07-29 20:00:00,1.0,2.7954545455,2.5166666667,5.5208333333,1,1,1,1
98,2024-07-29 20:15:00,1.0,2.7321428571,2.55,5.25,1,1,1,1
99,2024-07-29 20:30:00,1.0,2.7045454545,2.5,5.525,0,1,1,1
100,2024-07-29 20:45:00,1.0,2.6923076923,2.5166666667,5.4791666667,0,1,1,1
101,2024-07-29 21:00:00,1.0,2.7321428571,2.7166666667,5.5625,0,1,1,1
102,2024-07-29 21:15:00,1.0,2.8166666667,2.7333333333,5.6333333333,0,1,1,1
103,2024-07-29 21:45:00,1.125,2.7666666667,2.6166666667,5.6833333333,1,1,1,1
104,2024-07-29 22:00:00,1.03125,2.7833333333,2.8166666667,5.8,1,1,1,1
105,2024-07-29 22:15:00,1.0625,2.85,2.8166666667,5.65,1,1,1,1
106,2024-07-29 22:30:00,1.1071428571,2.7884615385,2.9,6.55,1,1,1,1
107,2024-07-29 22:45:00,1.0625,2.7333333333,2.8333333333,5.6333333333,1,1,1,1
108,2024-07-29 23:00:00,1.0535714286,2.8,2.8333333333,5.7333333333,1,1,1,1
